Player,POS,Team,Age,GP,W,L,Min,PTS,OREB,DREB,REB,AST,TD3,+/-
Shaquille Harrison,G,LAL,29,5,1,4,119.9,44,1,21,22,30,0,-1
Alex Len,C,SAC,29,26,15,11,161.2,43,24,36,60,12,0,19
Khem Birch,C,SAS,30,20,9,11,161.8,43,8,17,25,7,0,6
Meyers Leonard,C,MIL,31,9,6,3,113.7,43,12,22,34,1,0,-27
Jaden Springer,G,PHI,20,16,13,3,89.3,42,6,8,14,8,0,-3
Wendell Moore Jr.,G,MIN,21,29,16,13,152.7,42,4,14,18,18,0,-53
Jason Preston,PG,LAC,23,14,4,10,123.8,41,2,20,22,27,0,-11
Omer Yurtseven,C,MIA,24,9,5,4,83.2,40,8,15,23,2,0,10
Xavier Cooks,G,WAS,27,10,2,8,125.8,38,16,22,38,6,0,19
Jared Butler,SG,OKC,22,6,3,3,76.5,37,1,3,4,8,0,-1
Olivier Sarr,C,OKC,24,9,5,4,113.6,36,12,19,31,4,0,14
Vit Krejci,G,ATL,22,29,15,14,165.4,36,6,20,26,17,0,-3
Cody Martin,SF,CHA,27,7,2,5,133.7,35,8,16,24,11,0,-26
Nerlens Noel,C,BKN,29,17,4,13,194.7,35,10,36,46,10,0,-75
Isaiah Mobley,F,CLE,23,12,8,4,84.2,31,4,16,20,3,0,31
Vince Williams Jr.,G,MEM,22,15,7,8,104.6,30,4,11,15,4,0,-34
Greg Brown III,PF,POR,21,16,10,6,93.1,28,2,17,19,3,0,-5
Jordan Hall,G,SAS,21,9,1,8,82.7,28,3,9,12,11,0,-24
Joshua Primo,SG,SAS,20,4,3,1,93.4,28,2,11,13,18,0,-2
Udonis Haslem,PF,MIA,42,7,4,3,72.1,27,4,7,11,0,0,-25
Ryan Arcidiacono,G,POR,29,20,9,11,172.4,26,0,15,15,23,0,-40
Mac McClung,SG,PHI,24,2,2,0,41.1,25,3,7,10,9,0,18
Noah Vonleh,PF,BOS,27,23,17,6,171.6,25,18,30,48,7,0,-13
Sam Merrill,SG,CLE,26,5,4,1,58.5,25,0,9,9,5,0,-5
Gabe York,G,IND,29,3,1,2,55.8,24,0,6,6,5,0,24
Keon Ellis,G,SAC,23,16,7,9,70.9,24,4,4,8,6,0,-21
Micah Potter,C,UTA,25,7,4,3,52.4,24,3,13,16,4,0,-3
